"annee","droit","type","beneficiaire","montant","nature","id"
2008,"privé","Personne physique","AAA nhGmOpy5vKosGEmTslUmMU3HtDbZxuO/dgVUKgLUYZDVw3Jczn5jKHFBPGxGH8j5",83.93,"non",690
2008,"privé","Personne physique","AAA kXxG99wAw5FU50vx96CB0iDfGU1jbBKCEr4u7OLa4diqiX4xiZFK4Hs630cpia1V",74.5,"non",691
2008,"privé","Personne physique","AAA 2CFH2IptXN/616BvG/PSjH6oc1e34xSDXrtKqyxm5EsKpDRfACW8XvtrwRpHl+UV",49.5,"non",692
2009,"privé","Personne physique","AAA HVWXzhs1/SJpAS3GQBMIGVSYPKX36RHaSiUMfymUczDkfzAuVPkAmsN/6L1HV5Ck",124,"non",1386
2009,"privé","Personne physique","AAA ZzIbMOZJmXKmFwQx6MJgtQm6m/cm3QAzl+IT9Uzs2U3a+gMmx38t3/BtR4VvKWbD",50,"non",1387
2009,"privé","Personne physique","AAA crTSAF63mkqsC18pO2c7r6qUssPJXSk39U4QTHUaVtjbVaKZ+dFpOG9sgwrtp1bJ",300,"non",1388
2009,"privé","Personne physique","AAA t8z843txE2q/Qo5XT/41Gp1tEXHN+8exwh8xZMhbipmxi8ykjR/b3UqmYhJAI6/x",300,"non",1389
2009,"privé","Personne physique","AAA YEBP1Xdn33qezOxwysVndZsUKxxaRn4dhgX6K1FXVcNd+JSVgNTKIza8pAS2cAOD",300,"non",1390
2009,"privé","Personne physique","AAA iH8DRIwvZZGCZcqfddQTZzSjDTiCrECeF3NR8uwor2M5agbuCoWs+My22cyORfZq",83.45,"non",1391
2009,"privé","Personne physique","AAA q3yqPDfAbes83TcZ7iavJgHHVgYb8Jbb8jL0+c2N6QAgQFCCNzFTUk9h4tOrtFTm",87.5,"non",1392
2009,"privé","Personne physique","AAA pbOvMuTvZM/PfYf+oz7e4XQOapjcOp0PXidvCjOq0hjOgur5VM211iD1knDi+Y+j",300,"non",1393
2009,"privé","Personne physique","AAA GlWglEN+ntQVgzMTdF7+NKF8toXwCCI4bcdJ28tRrKLzNjj3zcRrzAia09n0KiCP",49.5,"non",1394
2009,"privé","Personne physique","AAA CLL1Nai5s5fFENRV/FrREWSU+hMVM66EznDYH4VMklc0Gk5Lh5c9fCgCm/E+pJuD",300,"non",1395
2009,"privé","Personne physique","AAA OSls4v8110Nv0nw4PYnLWrM2baV8VQsYwAyvouNL62yerny7dKNmlnsBfOuvCOAX",300,"non",1396
2009,"privé","Personne physique","AAA iLrcvgFVlgL+MyZ498fCZ8Scp2kzeTZumUhqftSYUPiGleeexPGk/IVDnIN/v7YB",49.5,"non",1397
2009,"privé","Personne physique","AAA QehH4sHyCLHycES0xFXuEY4JZsYTiGYdAqdeqPg9DufBrs7rnYDoIPmdzJpfC9kh",233.2,"non",1398
2009,"privé","Personne physique","AAA 65JkqPp8IF6NpYp63BNy6iqIMwDDnvzHMnDC9DUgqASy9LZN9GxrUqlaRqGlpbVQ",15.75,"non",1399
2009,"privé","Personne physique","AAA OrXmS5/P8DgJvYIK1vmbOT8+OvcdX8YPO9oe39oE8zLi0DOU5twhI+BHxVVbb1hP",124.5,"non",1400
2009,"privé","Personne physique","AAA K6qd5z4HaglUBjszu2b20Crc4ehx9Xpjj0YN/Dsxw3Xr/P8cJFAV/nSnJqQIb5Zo",300,"non",1401
2009,"privé","Personne physique","AAA vxgimy5dy1vCqpDvZg4th8SISBgMAi1cFv7kdaV9XsBAhBuwjO+/oyZgHrbsohOj",70,"non",1402
2009,"privé","Personne physique","AAA 3Zcm/bvasZCaw9qDWLiMtjWmIZCvCXQW6lOYr4y8WIPby2Aj2fiQqPaomfNfA1Eb",49.5,"non",1403
2009,"privé","Personne physique","AAA kfi6/8QtbJUxPBNWy6uaTV/+jKeMrormbFd5CcJNqcIqRx+eG2YEnS4pgj6j90aw",300,"non",1404
2009,"privé","Personne physique","AAA WVWcBG0E4X6tt2lYcYBPNBZ7SjPyH8+xVa/syG6uquAw347Tvo4xBc3qe7vg9dnT",300,"non",1405
2009,"privé","Personne physique","AAA d8nS5em1rg/ww4jy5YmW9fkB/G5wM74K0gJu7D+IViA/bGvVcZDFKIxrAqOneQbu",300,"non",1406
2009,"privé","Personne physique","AAA JDfkmVt5pKvIRlSlkGs2Z4pimlSmjk9DdVZv43Wh2da/m/iBClyKu7bHPvKqR2Ss",132,"non",1407
2009,"privé","Personne physique","AAA Scj91y91bvx3t0kJk1vMg1dfZK2Binv/Vp2y0KtoAQj47O9wypZ4bh6ran6S847o",300,"non",1408
2009,"privé","Personne physique","AAA eyWnZCVJJnQBsb08zWgzz+vQxmmanrv9djw2l4IZYTdcymPJs2bkAuNYBc8o0rPG",300,"non",1409
2009,"privé","Personne physique","AAA N63+h4fSig5tQaafk3j4VJYoHxoaBrOGeFW2CIOno7J0pORVoeMIsuilY++FzSWr",49.5,"non",1410
2009,"privé","Personne physique","AAA cMrx2QcDY5maB5Na7BaySuaY8zxLKVvuz+ZXxGW5rIg4hFBJhKlUlmvvGG0tKUEl",32.5,"non",1411
2009,"privé","Personne physique","AAA /FizpVHAhp3kW8NVlJn7MdD2tMLizABNsgoNv2WJ5RSkdQZX8E7gK9XV1dLiRy7u",12.45,"non",1412
2009,"privé","Personne physique","AAA kcoNoZJKc9JGASP1LNPxDsS3ehPU/3p0AvUiwnup8uMtB6tDR8FdqRa+3JK0PbNo",300,"non",1413
2009,"privé","Personne physique","AAA QXxSsDqBV+hQfcmfSG13poP7aClguOfDaXx12bFZo3qiwMkov3t9N96YEZ9J8aFr",300,"non",1414
2009,"privé","Personne physique","AAA jRSqGGHTS/twPNCQLNhlvOU8XiUo/rbBvR4kOVN8JvjgJEN0aASTAUi2bLF5iueV",87.5,"non",1415
2009,"privé","Personne physique","AAA CFCWk5JLTVAPgXSrYpOG43p46kwcRZOpnx82RdC/REWBP2qnDjHwIaEPQ0Cmo7ZU",300,"non",1416
2009,"privé","Personne physique","AAA mnI+XLDgo3rFgtfDk0keOt4u7IXABdJwlqNxWFGlrWJsOmUB+8K29XF9fGhoPTMm",537.38,"non",1417
2009,"privé","Personne physique","AAA VbIzraTd3cQ1JXIBdERoAEzNEYvIy3BNcwlyyeEtlZaoUbzUBAfaYI/v6XowQngI",300,"non",1418
2009,"privé","Personne physique","AAA tOp9MFWhLPDxseeZywngMGIAUa3tG40M8htSPwS2EBAU9Hv1TYpD8lWIBDD7Y/uG",300,"non",1419
2009,"privé","Personne physique","AAA X9f+h+wZlIXlDHiOC4FKWLuNHEzf+IAS+fH8DU4ua2ODMq6WYCRwf/JdkEvmUKSa",49.5,"non",1420
2009,"privé","Personne physique","AAA 6an/oN+lReKPgDMG7At3K0NISCDVuPpUFV5VF8h53CMY5meyvIkqrdXRPOQc0rOL",69,"non",1421
2009,"privé","Personne physique","AAA WevtfD8T7xd5zUEHeDQzt9wRavDZ+xkVeToChokO65GUQmxiPJBd8iMQCQTiHPbe",300,"non",1422
2009,"privé","Personne physique","AAA AmXU4Pt7JNNDoVOsJ1sNcsu5mVSIpasD2IaTSLdu0aklE3FtzjtJRZrrCEoJJ7oz",49.5,"non",1423
2009,"privé","Personne physique","AAA L9f3oIt1xrGfRFJU9mzjhirCvW8GieEE0aKTW/5l+m+N5mhmZg6ZXXIRRuqykA4J",53.96,"non",1424
2009,"privé","Personne physique","AAA ZdAiM1U7m21ioWotJqaJvdI8Q8kX4IkepxhSNejEs6tksJfqe88vG4HWIrVRzMVo",300,"non",1425
2009,"privé","Personne physique","AAA h3JnTYJ7xm4StjQ/1vEZ4evVADEF9MKv1oqpz/qTkIVYNty2jKJXQKYi0rCxyutS",300,"non",1426
2009,"privé","Personne physique","AAA tI7FV/018rqhS72rbnISQQMQwQvWzaGEc2GSIt/HmmfYtefSaxN5Dasc20PbfUDs",39.5,"non",1427
2009,"privé","Personne physique","AAA Oo5Pl+yqLfMsVvqYhP8rdO2ncCmNWLzm1ZPe80M45x5i9tc+2DFggIXfM1Ntu2oh",64.5,"non",1428
2009,"privé","Personne physique","AAA B7He7Wc0c8Pm60kKpiMPxlVcl/BchRkWDs9fUwVVMGYV9AOR8H9YfsRle+N3WNOo",300,"non",1429
2009,"privé","Personne physique","AAA GGRLUKpAOj401X5KTIQ/wsuVQQHPmfhisWIMPGZbPUM58ao8gmt4xQrtdRDbQuhH",300,"non",1430
2009,"privé","Personne physique","AAA 3qLu2GWTqmOrGTFcL2e4gp+KEhe7jQVDIhvaKMAh1I5+K/Os66jPVxf2rcxrqXru",14.98,"non",1431
2009,"privé","Personne physique","AAA KrcCSJjBSYLHpz4vIdnGtVZ7hyL3RJAxhRdcmRmrPzzG0iOczigNSuapRyjSOvBM",300,"non",1432
2009,"privé","Personne physique","AAA aWl76c2ZDIUK/bsayQ6ZtTf8MgKqpglhMjt4nP6KVjkK7ImZbcfNTaMEUBVBe7uq",71.14,"non",1433
2009,"privé","Personne physique","AAA Ed1SwFiwifUZD5arW0ZAeQ3hpIzKtCxz1a3qDjQz1ZhHwjrAk0qHQlgSNfbkT+Qa",300,"non",1434
2009,"privé","Personne physique","AAA Pz4Mw/d9HWefDvLXIX+ilRfsyjBJup103kjEfU7IR+pnh+cSRfD2Q26N7Yv9w1hF",52,"non",1435
2009,"privé","Personne physique","AAA H/kTCA8T+UqUqtu/7LWbc5MKoiFmP4znNwPFFtDn2C1s+PvwI2SwCqzxXxrmDA0X",133.5,"non",1436
2009,"privé","Personne physique","AAA ZSCYsrGptL2F7U8R7LvcfLdBjTN6LYHHjHGT+I9V4Cigji13JL6L8f8RdqX8cd98",300,"non",1437
2009,"privé","Personne physique","AAA /FF8bgluau+X64boN6cGnCK/TdW89OKAXDlWrtvGm99eewXhWpcJ7daT3SFsfH4C",24.93,"non",1438
2010,"privé","Personne physique","AAA /6EOFwNmdGi7DmUyQQNQLxmedO+mm6/wlz5WXnR9nPFBxaEVBU3v4mk9K9bYt+7g",300,"non",2172
2010,"privé","Personne physique","AAA agFHfc46DGYWFzJFbipTgvCH7PrqCFRNyIq+7DnsNn79vHLzHwNDZeFxvItIeXp8",400,"non",2173
2010,"privé","Personne physique","AAA IYlXHTQ3NvPxLGpXDak4todOnYifL5ZM7qAh7147gVAmp/JdfKNu/yRI3h4bpbaq",300,"non",2174
2010,"privé","Personne physique","AAA 8Jd7vCe6LGuzuGjXTByg7dZrA31XqbZfSA0SYzTWPX50DIRDy1z00p05684i2wSE",44.5,"non",2175
2010,"privé","Personne physique","AAA TIdWVd0i/Daf+UMqXNB5Rdn1n2s7f+UkMI2JnFCbaD+IjhYW/1hPBquVrAASE1go",42.9,"non",2176
2010,"privé","Personne physique","AAA +iEQL0s0grgFKb1gdvZQbRQazv2derUK4LI/ZvAx8pSZMWtMJW9zAFK2jK86b1WI",67.5,"non",2177
2010,"privé","Personne physique","AAA Sv5TYLJrdRT245fWyoyBb3GqnclGIKpTsNXsOWS8sLoWZlIduCSSe9ONrsYG4brm",300,"non",2178
2010,"privé","Personne physique","AAA 3Ux5VVhXzx6Y6KPffC4+j+ISAzaiiGr5yc0eUAJSko8AmUjzOtALK+YrF8ilvDPe",20,"non",2179
2010,"privé","Personne physique","AAA lNGnC69hMaYfZ2esKvMjVeovNVkBPX/x/dQtvIMeSRkP0q6RviZFjARg92OZ6HIh",50.33,"non",2180
2010,"privé","Personne physique","AAA ljv9mZDtbNjUvL3jssb/toGLkKcL7X3Y+dzm1MPBLGH6YCIgCUyiwVEX1mOimR9L",59.1,"non",2181
2010,"privé","Personne physique","AAA OGKNyOA1K46qGAf/8uzM/VCaVaP8j6Xwo4IpsOkHYLtDni7sKNWT946rqE5UR1+u",300,"non",2182
2010,"privé","Personne physique","AAA Dmqb75+nzhkuTdAMSTxRdvMMWiQsp2xG0RamQ3bTqXtuIrH23Be8oVkUj0C9mkkD",99.88,"non",2183
2010,"privé","Personne physique","AAA srJGKTnuJvZqdKxXQdryDAeMX/KoC9TvTUsBwkGgkcOsiXLvp/h/2P+pATUZ2XI6",69.5,"non",2184
2010,"privé","Personne physique","AAA oJPtPULb2GMzgxSe48fQJrwn8C9DQjRuwGr8Kv141Pb1fuG4ie0Spzmqc12RgBuB",3000,"non",2185
2010,"privé","Personne physique","AAA cvAo4nVeTQPvSHvQ0u3gBSmwdKc5nVh9/MJgK7dPHkdWLGK9IJti25s/XbKcda7i",300,"non",2186
2010,"privé","Personne physique","AAA RipLSWWkMnE/mzZ5AhNrmMStGTwgi+PcPmUAznm9LAhjQqHN42VrNVvCi+2P784a",72.5,"non",2187
2010,"privé","Personne physique","AAA R118d3kfaA2CI/OdZ+gIJRfKbcojbyN97VaH6P9y7MtTF/MmCVO/07mF8FPGWHkE",300,"non",2188
2010,"privé","Personne physique","AAA 6z2ma7XJhlC5JtvaxyZjRG0Xtbi6IjlaekiTqruwuKnw5OVKXZ03ULZvtLCglUiC",49.5,"non",2189
2010,"privé","Personne physique","AAA N0eth4jAYGHRItWhe6zi7yotiqtacsowu4sNyudCpn5pZwqx6KxxBlRc5qlt7cYQ",75,"non",2190
2010,"privé","Personne physique","AAA u0T1qZAVSrto91ekgNE0vqdztUAr/2Q09S7dOu5+B3Pu3yURpa9Py4sQcF9R5kUx",79,"non",2191
2010,"privé","Personne physique","AAA O5lDdHItlu/g1bqSk/T7Yl7FdFaZ1zeZSZONWr+cHil0kvfMXgfYJCvQjuW2RNDy",25.43,"non",2192
2010,"privé","Personne physique","AAA iKC2aPe3Ku2TEI6301mv95y8jz9o3VN08W8vQjMDyCjlGjFVQ3JEW4UH/6gML8fx",3000,"non",2193
2010,"privé","Personne physique","AAA 3TDbawaqpenfohhkqIRu8t/e4ehOcdl6AmEVk45YcSXWqVxLOxwfxUSQMKPq56gE",34.5,"non",2194
2010,"privé","Personne physique","AAA 5avDli0MBWoJFI8WMMEki/2YrcouqUW+HOMEHlv9+YNfR025wHcmRps3xXoKW+An",139.45,"non",2195
2010,"privé","Personne physique","AAA NcJQ+LlsaFfapcfiJygUKXbQQdw58qGsJ2voALUtJ3Mm58pGIbx6d7WyU12a14Xm",109.5,"non",2196
2010,"privé","Personne physique","AAA b5o53X1KN5H7KDFyiGsY1MO6RMPk+tPNjyc23TMBKY+Xoj/NjYGm1Q6SxnLydCVN",3000,"non",2197
2010,"privé","Personne physique","AAA aoSOcSp8G7cqER/Lhs88QtVZmhb9w8cl/13xNAuybsGEBVJIAY9kJWc+qOJZPALo",3000,"non",2198
2010,"privé","Personne physique","AAA WK8bpYxIWhxPhwSSOKpDJw4QEjPjj/CTpFXHrOl61c1M4bZy949YMUUxgdUs9rS3",145,"non",2199
2010,"privé","Personne physique","AAA NzQ7Ky73vXI4conqZyidi2k+4J75UYxcfhWLRsQBSpcJTXvTF8ZwVHU8+UJyx+Bv",300,"non",2200
2010,"privé","Personne physique","AAA feyKTkwxZFJR4s+ASBFAYGsmO1hJbJ/YEc3eP/pgH2SDLitf69miDQkZBlLSJBGU",3000,"non",2201
2010,"privé","Personne physique","AAA 87thcFyG86sm58tC2Nzty6G0ed7xXb76J4xznXCV6Vi0qyyIYH12suDFuN3dWqcI",69.5,"non",2202
2010,"privé","Personne physique","AAA sSnQ/iDDbAN74aGTnnzaDfcrqtdzUYImx1m//57H/tAi99Z6FON557WMzi1lOPyn",3000,"non",2203
2010,"privé","Personne physique","AAA c8beBX6Lvk6NfvR/31d2xkPKY3gqaSVWPDEeUxKJ7aOAqjSL4AZboooGVCTHmjxj",81.4,"non",2204
2010,"privé","Personne physique","AAA URtSeQ9EQPDOTdEA/vrBhP/yxuxqjTBK+wwqpw62dyuKhrGilvWtqoj6OygoUHR3",300,"non",2205
2010,"privé","Personne physique","AAA dCvfUefvmq1IbDvwLGAff2VLS3Hm5zoMbQpxypvakhfkpB1zR7cj+rh8shd7A6YA",400,"non",2206
